0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 96147530
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 95590474
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 94869578
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 94509130
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 93722759
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 93067338
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 92411978
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 92149834
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 90773578
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 90445898
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 89790538
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 89593930
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 88512586
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 88217674
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 87332938
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 85203018
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 84940874
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 84482122
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 82417738
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 81565770
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 80877642
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 79534154
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 78583882
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 77797450
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 77568074
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 76519498
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 75667530
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 74913866
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 73799754
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 73013322
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 72783946
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 71505994
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 71178314
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 70457418
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 69474378
0:0:0:0:0:0:0:1 - - [27/Dec/2023:11:20:37 +0900] "GET /JSPBasic/img/2023-11-13_14-27-38.mp4 HTTP/1.1" 206 68884554
